ID,country,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,political_scale,birthyear,age,religiousity,sex,marital_status,employment
702070510,SGP,1,2,1,2,1,10,5,5,1953,66,A religious person,Male,Single,Retired/pensioned
702070511,SGP,1,1,2,2,8,8,8,6,1940,79,A religious person,Male,Married,Retired/pensioned
702070512,SGP,1,2,3,2,7,7,7,7,1974,45,A religious person,Male,Married,Full time
702070513,SGP,1,2,1,2,5,7,7,5,1988,31,A religious person,Male,Single,Full time
702070514,SGP,1,1,1,2,6,5,3,6,1984,35,A religious person,Female,Single,Full time
702070515,SGP,3,2,2,2,8,8,4,8,1956,63,A religious person,Female,Single,Retired/pensioned
702070516,SGP,1,4,3,2,6,8,6,7,1962,57,A religious person,Male,Single,Full time
702070517,SGP,2,2,2,1,6,8,5,6,1975,44,Not a religious person,Female,Separated,Self employed
702070518,SGP,1,1,1,1,8,8,8,3,1990,29,Not a religious person,Female,Single,Full time
702070519,SGP,1,3,3,1,5,7,7,8,1966,53,A religious person,Female,Divorced,Full time
702070520,SGP,1,2,1,1,1,1,1,10,1992,27,Not a religious person,Female,Divorced,Full time
702070521,SGP,1,2,2,1,9,10,5,5,1994,25,A religious person,Male,Single,Other
702070522,SGP,1,1,1,1,8,8,3,5,1984,36,A religious person,Male,Married,Full time
702070523,SGP,1,3,3,2,5,7,6,5,1955,65,Not a religious person,Male,Married,Full time
702070524,SGP,1,1,1,2,3,5,7,7,1990,30,Not a religious person,Male,Married,Full time
702070525,SGP,1,2,2,3,7,7,8,5,1986,34,Not a religious person,Female,Married,Full time
702070526,SGP,1,1,1,4,6,6,5,7,1959,61,Not a religious person,Male,Married,Unemployed
702070527,SGP,1,2,1,2,6,6,7,5,1996,23,Not a religious person,Female,Single,Unemployed
702070528,SGP,1,1,2,2,6,7,4,5,1971,48,Not a religious person,Male,Married,Full time
702070529,SGP,1,1,2,1,10,8,5,-1,1994,26,A religious person,Male,Single,Full time
702070530,SGP,1,1,2,3,10,10,7,-1,1987,33,A religious person,Female,Married,Homemaker
702070531,SGP,1,2,1,1,10,10,5,-1,1969,51,A religious person,Female,Married,Part time
702070532,SGP,1,1,2,2,8,10,9,-1,1990,30,A religious person,Male,Single,Full time
702070533,SGP,1,3,3,1,8,8,6,4,1987,32,Not a religious person,Female,Single,Full time
702070534,SGP,1,1,2,2,8,8,7,5,1981,38,A religious person,Female,Single,Full time
702070535,SGP,1,1,2,2,6,7,8,6,1992,27,A religious person,Male,Single,Full time
702070536,SGP,1,3,1,1,5,5,5,-1,1957,63,A religious person,Male,Single,Part time
